,class,tweet
59,1,I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa
60,1,imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!
61,1,Ugh  twitter stop it  you fucking slut.
62,1,HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH
63,1,cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha
64,1,Fuck the pics! @giove_dea WE WANT VIDS!!
65,1,Hard to play because it is damn fucking awful
66,1,you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time
67,1,no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol
68,1,oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.
69,1,"you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird."""
70,1,I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.
71,1,Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!
72,1,FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!
73,1,another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!
74,1,"there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it."
75,1,I got it. How many damn websites do u have homie! Sheesh!
76,1,U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!
77,1, kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!
78,1,haris i m trying to control my fat tummy did'nt eat from 2 days :D
79,1,700. you glutinous bitch!
80,1,Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad)
81,1,So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!
82,1,lo thankyou.. will see you soon :) and i hav to send a mail to u damn!
83,1,Have you tried 'fuck' and 'Fuck'? (yes  they are different)
84,1,Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.
85,1,damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol
86,1,that sucks... she should prolly just change her major lol
87,1,that sucks... so are there plans to get back together? or are they done?
88,1,you are a fatty fat fat
89,1,you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!
90,1,they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.
91,1,no one likes every fat snack u do bitch! so shaddup ahahahahaha
92,1,stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!
93,1,ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???
94,1,'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!
95,1,OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;)
96,1,mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL
97,1,"lol @ ""the bitch"". damn."
98,1,damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.
99,1,Slurpees are awesome. Damn  now I really really want one O.o
100,1,"I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!"
101,1,i loved it  i laughed my ass off
102,1,ahh  you might be on to something...damn techies
103,1,The pig of shame? Lol! Is that like the aardvark of discontent?
104,1,Still - it's damn moronic that media people can't access media - particularly media made by their own company!
105,1,if anyone said Arial I'm gonna beat their ass.
106,1,well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.
107,1,Tell her she says Bitch like it's a bad thing
108,1,I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon
109,1,Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p
110,1,You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.
111,1,Damn  you're totally geeking out on us tonite.
112,1,the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.
113,1,we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...
114,1,Let your hate for Gambit grow. Embrace it. Spread it.
115,1,dig deep and find that special Christmas hate!
116,1,I tried to rickroll my office christmas party last night but the damn band didn't know it!
117,1,even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.
118,1,Smack a bitch? :-D
119,1,rock  not the. He gives the emo populists limp wrist rocker throw.
120,1,Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!
121,1,i feel fucking great get me another drink
122,1,"You've got 5"" of snow?  Damn.  I'm jealous."
123,1,It just sucks that so many use it as a crutch.
124,1,They say I have the best ass this side of fourteenth street.
125,1,yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site
126,1,ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x
127,1,Fuck  amen to that
128,1,Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:
129,1,I knw!!!!!  I hate that! D:
130,1,Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(
131,1,yeah. i had to beg the stupid teacher. it was so gay.
132,1,yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...
133,1,told ya she was fat! she's loyal tho  she has this goin for her...
134,1,if you tweet about that damn song one more time.... And its on the Scion double disc promo cd
135,1,I have all th nerd at home and I'm a smart ass too. So I answered you
136,1,u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh
137,1,you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P
138,1,haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!
139,1,and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol
140,1,I like the verses to the song....just not that lame ass auto tuning nigga on the hook
141,1,hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao
142,1,way to damn hard
143,1,"the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd"""
144,1,but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha
145,1,DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.
146,1,No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;
147,1,it was a joke haha. i figured id be emo too since everyone is complaining on here
148,1,It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.
149,1,o so the rumors are true i am OBESE! yea fat!
150,1,girlfriend where the fuck did u find that photo! lmao!
151,1,ur a damn fool lmao
152,1,They're not my preference  but the app is so damn fast and thorough that I let it slide.
153,1, Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :)
154,1,Tell them you want YouTube to quit fucking with things that no one wants fucked with.
155,1,No  you just piss out anything your body won't absorb.
156,1,Doh! dont you hate it when that happens  I keep meaning to take a backup myself
157,1,Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...
158,1,Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold
159,1,"hate text talking"""
160,1,: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!
161,1,less #damn-fridays  more #bad_wookie_pun
162,1,women are fucking disgusting.
163,1,you bet your sweet ass you will!
164,1,dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.
165,1, will do when i get home  only time i heard it was warped though  fuck life!
166,1,Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol
167,1,i got ur ticks  but yo ass ain't gonna come! lol
168,1,Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?
169,1,stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;)
170,1,"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)"
171,1,gee  i'd hate to see what you say about the family ;)
172,1,dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.
173,1,damn fine! The snow is gone thank god!
174,1,That sucks.  Life can't really be that bad  right?  Chocolate does always help.
175,1,i hate you :P happy birthday dude  good to know your enjoying it
176,1,thats a good question.  most lawyers HATE that stuff.
177,1,YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME
178,1,oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.
179,1,ummm. Ya. That's pretty damn pimp.
180,1,as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power
181,1,got delayed.  your ass kicking will have to wait.
182,1,I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?
183,1,it was just a joke man..i wasnt taking the piss out of anything.
184,1,i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and
185,1,i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.
186,1,I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).
187,1,"Are you laughing your ass off with all these ""juicy"" twits?"
188,1,yeah we do... damn this time difference *HUGS*
189,1,OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred
190,1,hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?
191,1,yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.
192,1,wow - mommy's little cheerleader! *must... not... take... the...piss......*
193,1,lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol
194,1,oh hot damn!
195,1,He can't hear you  his head's too far up his own ass.
196,1,Prison Bitch is a sparkling addition to any resume.
197,1,a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes)
198,1,that sucks that you're sick. Sorry to hear that.
199,1,No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :)
200,1,try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?
201,1,Football. I hate it. It&#8217;s official  I&#8217;m bad luck.
202,1,I fucking love Haunted.
203,1,I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.
204,1,lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.
205,1,Yea it sucks!!
206,1,Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.
207,1,yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards
208,1,hot damn! did you get an iPhone too?
209,1,aw  thanks. it's going better than yesterday  that's for damn sure. :-D
210,1,no. i must have missed that one. damn. ;-)
211,1,have a safe flight.....damn now you make me want some jamba juice
212,1,I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.
213,1,http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?
214,1,him and his damn tech stuff bwahaha
215,1,i'm not emo. I'm fucking happy!
216,1,well now I have to edit myself and you know how I hate that!
217,1,if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.
218,1,what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny
219,1,& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS
220,1,you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.
221,1,i get that ha ha smart ass :p
222,1,i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times
223,1,Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.
224,1,Oh man  that sucks. @Vincentdooly can you help @dsmoore out?
225,1,yea the weather sucks. At least you missed the 8 degree weather though lol.
226,1,I do  but I'm an American. Hence  I'm a pussy.
227,1,God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...
228,1,I take full pride in being a nerd. Hahah.
229,1,THAT'S AN UGLY ASS PICTURE!
230,1,Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!
231,1,My grandmother is a big bitch and my father's a fraking arsehole.
232,1,you must be bored...you are a twitter whore today. ;)
233,1,man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.
234,1,just don't eat a meal replacement bar.. I fucking threw up!!
235,1,fuck duke!
236,1,"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this"
237,1,2 weeks? how am I gonna live without money for 2 fucking weeks?
238,1,Well get your ass busy!
239,1,Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!
240,1,damn that sucks..I hope you are ok now
241,1,haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!
242,1,Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?
243,1,"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?"
244,1,Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you
245,1,Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.
246,1,Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount
247,1,If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know
248,1,you're a fucking maniac.
249,1,its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.
250,1,HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:
251,1,FUCK SUNDAY im super bummed.
252,1,whelchers fuckin suck ass!
253,1,some peoples drama just sucks!
254,1,well that sux donkey dick. No interwebs is kinda a pain for ur work.
255,1,Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.
256,1,today feels like sunday.....damn lol
257,1,Damn didnt even see that lol  : /
258,1,HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol
259,1,i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!
260,1,don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.
261,1,i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.
262,1,i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account
263,1,no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.
264,1,here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!
265,1,no i think you will hate it. Its a bunch of dirty work.
266,1,the iced media party. Long ass day at the office  time for a drink or 3
267,1,easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first
268,1,@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...
269,1,LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!
270,1,You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL
271,1,@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!
272,1,That sucks  they owe you much?
273,1,Boo  to be fair they shouldn't give away your room. Kick their ass!
274,1,Wow  that's bad-ass. You're like Stanley now. Well  even more so...
275,1,lol figured. So anyway  anna is still being a bitch(sorry for the language) She doesnt want to go on the trip. So now onto plan B
276,1,anna just has to ruin the holidays for me  just like every year. Damn you anna!
277,1,rock out with ur cock out dude!!!
278,1,that's a shame  I hate having to unfollow someone! :-P
279,1,BIG FAT HARD HAWAIIAN DICK. Too much?
280,1, i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?
281,1,LOL - nah  that's just what we tell the loser guests that we usually toss down in the newsroom!! oh  wait...
282,1,Israelis to Spanish FM ... Kiss my ass.
283,1,No  but I'm saying that money that has gone into Gaza SHOULD be feeding people  not waging war and breding hate.
284,1,I had a dream involving a rhino chasing me because of my polo cologne. Everyone says it represents a fat woman. My life sucks.
285,1,Taking the piss = talking trash  perhaps
286,1,& @babysinead that dude is a fucking PSYCHO. i turned down working for him and he told ppl that I DID and that i was TROUBLE.
287,1,& @babysinead i've never even met him in person. he's a fucking douche.
288,1,I get that too! It sucks!
289,1,hey fag why you gotta ask the whole world!? j/k your awesome
290,1,gotta love the gay kid who was drumming trying to get his head in the pic tho HAHA
291,1,Sheeyat....Freezing rain is no punk. Hope you didn't fall & bust your ass in the parking lot.... I almost did.
292,1,Damn skippy. I should be dead 10 times over......
293,1,Its foggy as hell here too. Looks like damn Seattle.
294,1,lol penelope died?? thats so depressive  i have a compaq it sucks  i dont have a name for my computer tho : )
295,1,Do you really have a big man ass?
296,1,i don't know that bambi's ass is a nice place. LOL
297,1,attention whore!
298,1,I laughed so hard when I first heard because my gay husband (good friend  lol) says code 3 when he has an emergency
299,1,http://twitpic.com/xipq - this only makes me hate having a verizon contract even more.  erg.
300,1,no guarantees.  hate the place. I'm ust going there to make sure my parents are still alive.
301,1,AWWWW I HATE THAT!!!! I had to buy that gadget you can stick your hard drive into to pull them off. SO SUCKS! Sorry. :0(
302,1,Praying for your grandmother and your momma. I hate that they are facing so much.
303,1,bitch please your gorgeous
304,1,i fucking hate that word  hahaha.
305,1,i know  haha. 1408 is so gay. i don't even know why i'm watching it.
306,1,omg - that sucks arse! I am so sorry =/
307,1,Sounds like good times. I'm in the office until 7:00 and then I'll probably go for a run. I'm a fat boy getting fatter.
308,1,Ye Olde Cock looks nice.
309,1,sure you can  I'll hide the flashlight. go emo go!
310,1,emang lagu2nya emo? bukannya mellow? :D
311,1,gitu emo jaman dulu ya :D
312,1,Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.
313,1,I thinks you meant to say that TWILIGHT was epic fail  not your mistake. I hate stephanie meyer and I've never even met her.
314,1,lawl. Sucks to be THEM  then.
315,1,I'd die first. Damn fareway.
316,1,LMAO! He's horrible. The Beatles changed the fucking WORLD! And are still an icon to this day. Who the fuck are you?!?!?
317,1,I need to see how this ravin rabids game works first. It'd all have to be in the ass moving. Maybe not moving enough = bad oral?
318,1,holy fucking jesus mother  gad damnit WTF? wow.
319,1,really? Thank fucking god for sleeping pills!
320,1,dude  that pic of you in the Gold 2009 flyer looks like a friggen glamour shot  fag. hearts!
321,1,Eff yeah! give @jeffreyparadise and @richiepanic a slap on the ass for me
322,1,you are fucking killing me. Please come to a party at my house next time yer in LA. Rice pilaf will be ready
323,1,I hate to open the flue after a long fall. We get birds or dead squirrels...totally scary!!!!!
324,1,depends on how much you hate fighting w/your light. I read in the car a lot while hub drives  so very worth it to me.
325,1,he won't wanna pet the guinea pig?
326,1,i'd love to visit (or live) in san diego cause of yr round warm weather. i hate cold so bad. crowds n traf would b my probs there
327,1,no prob  but watch out  it's fucking addictive!
328,1,re:fuck the creative industries blog post (at squares of wheat):I say:Waaaay too much empty rhetoric there. Be the Change ?
329,1,Did...I mention that among my new disciplines are Dementation  Dominate  Presence  and Obtenebration?  I am fucking AWESOME.
330,1,I *really* hate housework! Then again  it was great waking up to a clean LR & kitchen! Maybe I should do it more often... :-)
331,1,I've been wondering that myself. Its been down for quite a damn long time... @tqbf any comment on that?
332,1,well damn we should have had a tweet up. I was at Kona last night as well.
333,1,ouch! Hope your alright! :S I hate Black Ice  Almost broke my arm on it the other week :P
334,1,eeeeew  I wanna cum ;)
335,1, AAYE!!!  richard gre is NOT gay-re :P
336,1,fuck yeah bra
337,1,nope can't deny that sweet face or lil schnauzer w/ ears~always wished Hildie had her pig tails~how is cropping still happening?
338,1,Hey~~Happy New Year new friend !! enjoy the movie~ think of me when the crazy proff shows up..damn...can't remember his name
339,1,#NAME?
340,1, GOOD! Now u can bring ur happy lil' ass over here & help me finish hanging this garland.  ;-)
341,1,Guess there wont be much skidding then. As is said hope you're on the ground floor or everyone will hate Green Grass and High Tides.
342,1,The FA50 is a low key ultra here in ATL. It stands for Fat Ass 50K. Loop course  so you could do 25K...Half Ass.
343,1, me too!!! I also hate closing then opening then closing shifts that gets me all out of wack.
344,1,"says ""no more pizzas for the situation room! or else we will be fat when the war is over..."""
345,1,hangs longer than u while u lay there on ur ass! 1 day u gonna look back @ these days & ask urself where did ur life go?
346,1,I slept horribly. Kepted waking up every hour. Kept tossing and turning. Argh I hate having to work today! Time for cardio!
347,1,if you can get me a signed copy of Jordan's book....we'll pull some qoutes during shows.  That guy kicks ass muchos muchos  wow
348,1,wErd... you pick out (2) kick ass hip hop songs and we'll doit yo~
349,1,hola! Orli ... we are www.LuckyStartups.com looking to interview some kick ass peeps in Israel... you up to it?
350,1,yeah  I did that a few months ago. How's your show doing man?? looks kick ass!
351,1,Thinking about response/actions. Have decided its not going 2b ideal 4 anyone. Its sticky bc its family. Theres love/hate/dislike
352,1,Not talking about incident but more so the attitude that I'm gonna bitch & make a comp do something on a subjective matter.
353,1,she doesnt want to scar you for life like i could.  cant talk her into sending you the video of they guy with the jar in his ass.
354,1,when can I meet your uncle??? Maybe he could give a wiki demo to our loser peeps!?
355,1,what a coincidence! I'm wearing my fat jeans today and it felt like they were my skinny jeans!
356,1,sucks  don't it?
357,1,doc's a dick.. ill manage without injuring myself.. self inflicted pain would be desperate..which I think I am.. Siiigghhh!!
358,1,Agreed!  Twitter showed the way with the whale ;)
359,1,No- shopping isn't what sucks! It's the crowds that cause the trouble. haha! Love your website btw!!
360,1,FUCK YEAH BIOSHOCK! Tell me how the apartment hunt goes!
361,1,Merry Christmas to you too  Casey. For tomorrow. Er  or today. Grrr  damn time zones....
362,1,Are we going to see an appearance of the 'fuck me' boots? :P
363,1,Sounds more reasonable. I hate having to buy 8+ presents for my very small family alone. Soulless Myer gift cards FTW
364,1,Wtf. Fuck you
365,1,Lawlz. yr a bitch. hoe.
366,1,Sorry you bitch punched TEO.
367,1,oh no  I always try to make my desk look neat. Fail whale. There are always newspapers piling up  cables are worse!
368,1,Funny I always thought Job Security is dependent to how much ass you can kiss? (wait I guess they are one of the same if you think..)
369,1,Oh I know. It doesn't hurt to have one of the richest woman in the world actually hate you. Elvis had the Memphis Mafia. Oprah...
370,1,Lol  I'm not enough of a LOTR nerd to need to install Tolkien fonts. :)
371,1,it was a good show...dude!  Did you call in gay  rotfl
372,1,hmmm....or do they hate you because you didn't let them join in the parranda? Nah  probably the corp council thing
373,1,LOL Hon  I have been saying for a while now that this boy will be gay. It really bothers the hubs when I do  so Im tryin 2b good
374,1,"lol exactly. ""Hey guys  how about a 13-sided paralellogram? THAT'LL fuck em up!"
375,1,Yeh  but every nerd like to think he/she is devastatingly good-looking  as revenge on those who snubbed them. Trust me  I kno
376,1,Gee  i might if the person running this hadn't been such a bitch to me. I'll focus my efforts elsewhere  thanks.
377,1,haha you'd think so right? I AM giving something away though i'm just surprised cause it's that high..my sqz  pg honestly sucks lol
378,1,heh i'm a thunking (friggin hate that word - 'thunking' how daft - anyway) - is it a CON?
379,1, i just fucking beat you!
380,1,HOLY FUCK! that was one tough fucking cow!
381,1,yeah i know but its also too bad about the children ya know BECAUsE I FUCKING WON!
382,1,Heh  his name's Jeremy (stupid little nerd  but he's up for any challenge.) And he's about to break  anyway.
383,1,hippies hate that stuff... too chemical-y. This is true when used in ENORMOUS amounts.
384,1,i have to go inside of you tomorrow. i hate myself every time i am in you. i feel cheap and dirty.
385,1,#NAME?
386,1,"(RT) Fat Bastard (my beagle) is writing his ""tail-all"" confessional diary about online dating..."
